15	10	E	-9021144.568902541	200
emissionprobs	11	1	H3k04me1	1	0.2119540265253673
emissionprobs	11	2	H3k09me3	0	0.9749005764794372
emissionprobs	11	2	H3k09me3	1	0.025099423520562863
emissionprobs	11	3	H3k27ac	0	0.13577186060745627
emissionprobs	11	3	H3k27ac	1	0.8642281393925437
emissionprobs	11	4	H3k27me3	0	0.3917620784739168
emissionprobs	11	4	H3k27me3	1	0.6082379215260831
emissionprobs	11	5	H3k36me3	0	0.9743454811403729
emissionprobs	11	5	H3k36me3	1	0.025654518859627096
emissionprobs	11	6	H3k4me2	0	0.01503414354899561
emissionprobs	11	6	H3k4me2	1	0.9849658564510043
emissionprobs	11	7	H3k4me3	0	0.07041304016519008
emissionprobs	11	7	H3k4me3	1	0.92958695983481
emissionprobs	11	8	H3k79me2	0	0.05759895421665706
emissionprobs	11	8	H3k79me2	1	0.9424010457833429
emissionprobs	11	9	H3k9ac	0	0.003053211297871304
emissionprobs	11	9	H3k9ac	1	0.9969467887021287
emissionprobs	12	0	H2az	0	0.9840926232990264
emissionprobs	12	0	H2az	1	0.015907376700973627
emissionprobs	12	1	H3k04me1	0	0.994546633394557
emissionprobs	12	1	H3k04me1	1	0.005453366605443043
emissionprobs	12	2	H3k09me3	0	0.9973574039634755
emissionprobs	12	2	H3k09me3	1	0.0026425960365244272
emissionprobs	12	3	H3k27ac	0	0.9999803506045651
emissionprobs	12	3	H3k27ac	1	1.9649395434891694E-5
emissionprobs	12	4	H3k27me3	0	0.6374836404897711
emissionprobs	12	4	H3k27me3	1	0.36251635951022887
emissionprobs	12	5	H3k36me3	0	0.9997756481037938
emissionprobs	12	5	H3k36me3	1	2.2435189620624227E-4
emissionprobs	12	6	H3k4me2	0	0.9996619800720111
emissionprobs	12	6	H3k4me2	1	3.380199279889686E-4
emissionprobs	12	7	H3k4me3	0	0.9997390691303242
emissionprobs	12	7	H3k4me3	1	2.609308696757181E-4
emissionprobs	12	8	H3k79me2	0	0.9997361652113748
emissionprobs	12	8	H3k79me2	1	2.6383478862525685E-4
emissionprobs	12	9	H3k9ac	0	0.9983877850213979
emissionprobs	12	9	H3k9ac	1	0.0016122149786019812
emissionprobs	13	0	H2az	0	0.9951378740298525
emissionprobs	13	0	H2az	1	0.004862125970147406
emissionprobs	13	1	H3k04me1	0	0.9994173884606297
emissionprobs	13	1	H3k04me1	1	5.826115393702889E-4
emissionprobs	13	2	H3k09me3	0	0.9984925427036953
emissionprobs	13	2	H3k09me3	1	0.0015074572963048127
emissionprobs	13	3	H3k27ac	0	0.999994504588775
emissionprobs	13	3	H3k27ac	1	5.495411224953815E-6
emissionprobs	13	4	H3k27me3	0	0.9942214708728643
emissionprobs	13	4	H3k27me3	1	0.005778529127135649
emissionprobs	13	5	H3k36me3	0	0.9998841139127259
emissionprobs	13	5	H3k36me3	1	1.1588608727403138E-4
emissionprobs	13	6	H3k4me2	0	0.9998176708411648
emissionprobs	13	6	H3k4me2	1	1.8232915883529042E-4
emissionprobs	13	7	H3k4me3	0	0.999965971499931
emissionprobs	13	7	H3k4me3	1	3.402850006890213E-5
emissionprobs	13	8	H3k79me2	0	0.9999558133758004
emissionprobs	13	8	H3k79me2	1	4.4186624199464164E-5
emissionprobs	13	9	H3k9ac	0	0.9997826822305786
emissionprobs	13	9	H3k9ac	1	2.173177694213283E-4
emissionprobs	14	0	H2az	0	0.9713595905037479
emissionprobs	14	0	H2az	1	0.028640409496252163
